 1.0000000     0.0000479
 0.9666341     0.0017363
 0.9038341     0.0066154
 0.8342935     0.0136262
 0.7624304     0.0214202
 0.6907649     0.0299758
 0.6203655     0.0397261
 0.5500472     0.0504400
 0.4788028     0.0614558
 0.4074159     0.0732084
 0.3368400     0.0848204
 0.2692757     0.0941998
 0.2083741     0.0988242
 0.1573868     0.0983570
 0.1169140     0.0924067
 0.0828168     0.0826568
 0.0560463     0.0704667
 0.0361758     0.0577955
 0.0215498     0.0452424
 0.0115826     0.0329061
 0.0055625     0.0219130
 0.0019945     0.0124293
 0.0002467     0.0035649
 0.0004755    -0.0045913
 0.0027675    -0.0130849
 0.0077900    -0.0220373
 0.0162007    -0.0306320
 0.0285895    -0.0396469
 0.0466671    -0.0494062
 0.0728758    -0.0593274
 0.1094090    -0.0681156
 0.1556860    -0.0747603
 0.2093904    -0.0783204
 0.2712652    -0.0798598
 0.3359510    -0.0788043
 0.4038697    -0.0747532
 0.4742506    -0.0687364
 0.5453696    -0.0615892
 0.6158254    -0.0528273
 0.6875958    -0.0427482
 0.7594140    -0.0320344
 0.8304601    -0.0220930
 0.9008044    -0.0130373
 0.9663063    -0.0044401
 1.0000000     0.0000479
